,open,close,high,low,volume
2014-01-02,34.6785424084,34.502134,34.7249698763,34.4464236382,30632200.0
2014-01-03,34.5392737001,34.270015,34.5578432016,33.98218587,31134800.0
2014-01-06,34.2143052808,33.545806,34.2514452129,33.5272364982,43603700.0
2014-01-07,33.7315018498,33.805778,33.8800578641,33.6200820537,35802800.0
2014-01-08,33.4251028761,33.202267,33.5550884588,33.0351451995,59971700.0
2014-01-09,33.3136871383,32.988719,33.3415404625,32.8680200238,36516300.0
2014-01-10,33.3322574165,33.462243,33.5643761878,33.1929842968,40548800.0
2014-01-13,33.4158196791,32.478058,33.4436720743,32.3387885962,45901900.0
2014-01-14,32.2459391072,33.220837,33.3136863637,32.1530925289,41623300.0
2014-01-15,33.3322571471,34.130742,34.1585990378,33.2858296793,44812600.0
2014-01-16,34.0657499828,34.251445,34.353578188,33.712931307,38018700.0
2014-01-17,34.1957387103,33.777924,34.1957387103,33.5643756622,46267500.0
2014-01-21,34.1864526628,33.582942,34.1864526628,33.480812526,31567300.0
2014-01-22,33.6665049229,33.36011,33.7222152853,33.1929844837,21904300.0
2014-01-23,33.5086663245,33.480813,33.5458062569,32.979435518,43954000.0
2014-01-24,34.7713930577,34.177169,34.8642387098,33.9171941178,76395500.0
2014-01-27,34.2328750624,33.452956,34.2514445639,33.4065331748,44420800.0
2014-01-28,33.536519806,33.675792,33.7872080839,33.1929849462,36205500.0
2014-01-29,33.4065329536,34.037896,34.2421614435,33.3322568051,52745900.0
2014-01-30,34.1585987451,34.223592,34.2421615014,33.6386517776,35036300.0
2014-01-31,34.3071551079,35.133497,35.1799198255,33.945049827,93162300.0
2014-02-03,35.0406514606,33.870771,35.2727702311,33.8243472459,64063100.0
2014-02-04,34.3257253469,33.750068,34.5299880118,33.657222347,54697900.0
2014-02-05,33.6943612113,33.257977,33.8614867238,33.2394065701,55814400.0
2014-02-06,33.2394075348,33.592229,33.6572222568,33.1372752741,35351800.0
2014-02-07,33.7222150514,33.94505,33.972903324,33.4343859184,33260500.0
2014-02-10,34.0100430934,34.167882,34.167882,33.6943615664,26767000.0
2014-02-11,34.2421620112,34.511417,34.5949797575,34.2235925095,32141400.0
2014-02-12,34.6785422055,34.789962,34.9106609744,34.6321193802,27051800.0
2014-02-13,34.6599759112,34.919948,35.1520667654,34.6599759112,37635500.0
2014-02-14,34.715682729,34.929232,35.0777880146,34.659977009,31407500.0
2014-02-18,35.2005096567,35.004065,35.3408233933,34.994712497,32834000.0
2014-02-19,34.8169809603,35.088255,35.3127618469,34.8076247155,29750400.0
2014-02-20,35.1443822721,35.312761,35.4250125499,34.9853597888,27526100.0
2014-02-21,35.4904925701,35.527911,35.874020953,35.415659452,38021300.0
2014-02-24,35.256634,35.256634,35.5279117763,35.1163202635,32085100.0
2014-02-25,35.1818006163,35.11632,35.40630278,34.9385840924,30736500.0
2014-02-26,35.1537390485,35.05084,35.3034090312,34.7889156595,41041800.0
2014-02-27,35.0321306757,35.41566,35.4437212504,34.8263335175,33903400.0
2014-02-28,35.5279117288,35.836607,35.9769207363,35.3782417479,41215000.0
2014-03-03,35.4717832967,35.340823,35.6682279513,35.0695489683,29717500.0
2014-03-04,35.7337090844,35.93015,35.995630617,35.6121012887,26802400.0
2014-03-05,35.780479296,35.649519,35.7991880433,35.4811393385,20520100.0
2014-03-06,35.6775808199,35.686938,35.7711273644,35.4437214743,23582200.0
2014-03-07,35.8085413923,35.453078,35.8833782524,35.2566333471,26591600.0
2014-03-10,35.5372672223,35.378241,35.5559722278,35.2846981993,19006600.0
2014-03-11,35.4250134544,35.56533,35.7617718543,35.284699715,25216400.0
2014-03-12,35.3595324902,35.799189,35.9488589828,35.3501799872,30494100.0
2014-03-13,35.9395028845,35.443722,35.9675688126,35.209862651,32169700.0
2014-03-14,35.2192190667,35.26599,35.6775805744,35.0882540923,27195600.0
2014-03-17,35.4530791968,35.593392,35.9301503982,35.3501801478,20479600.0
2014-03-18,35.7898328262,36.996548,37.3239538942,35.7524181368,64063900.0
2014-03-19,36.9217144119,36.734626,36.9965475316,36.3978685424,35597200.0
2014-03-20,36.7159167696,37.726191,38.0255309584,36.7065642668,59269800.0
2014-03-21,38.0910108657,37.567165,38.2968052175,37.4268475228,80721800.0
2014-03-24,37.7355440188,37.885214,38.0161742981,37.2865350105,46098400.0
2014-03-25,38.0348839623,37.735544,38.3435801693,37.3800768593,43193100.0
2014-03-26,37.8665048518,37.221054,38.0816545121,37.0433180929,41977500.0
