,open,close,high,low,volume
2014-03-03,22.7469268285,22.7006,22.7839899592,22.515288053,25728500.0
2014-03-04,22.9044412082,22.802522,22.9600363674,22.7006000122,23661200.0
2014-03-05,22.885911947,22.7006,22.8951756449,22.6079444898,21036200.0
2014-03-06,22.765458621,22.821051,22.8395830284,22.5894122269,22371700.0
2014-03-07,22.8859121597,22.830317,23.0248944998,22.7654590688,25373400.0
2014-03-10,22.8025222506,23.015629,23.0619558291,22.7747246707,24908100.0
2014-03-11,22.9600356803,22.913707,23.024893609,22.8025213176,26656800.0
2014-03-12,22.8395829402,22.941504,23.0526896841,22.8025216632,21244800.0
2014-03-13,22.9785647389,22.765458,23.1638766789,22.6357402906,26243300.0
2014-03-14,22.682068898,22.7006,22.8395832653,22.6079444898,21807200.0
2014-03-17,22.8303168406,22.885912,22.9970976859,22.6913345016,18525800.0
2014-03-18,22.8673792893,22.997097,23.0712214061,22.7469262028,26344000.0
2014-03-19,23.0248946303,23.182409,23.3955166767,22.950770221,34229400.0
2014-03-20,23.1638773103,23.562296,23.7105448148,23.1082849313,37009100.0
2014-03-21,23.7290771729,23.321392,23.7939351037,23.3121264489,56861900.0
2014-03-24,23.3584531058,23.275065,23.5159674725,23.0897530538,36950600.0
2014-03-25,23.3399239753,23.590092,23.7846694982,23.3213919466,32317400.0
2014-03-26,23.7105455016,23.515968,23.8495287695,23.4603756194,26442800.0
2014-03-27,23.4974386088,23.451109,23.8587941766,23.4325797508,27201100.0
2014-03-28,23.5437645073,23.738342,23.9143856115,23.4603745503,22884500.0
2014-03-31,23.7661391056,23.914387,24.1460257827,23.7383433783,29336300.0
2014-04-01,23.9051206048,24.081167,24.090432551,23.7568717891,23778700.0
2014-04-02,24.053369858,23.988511,24.1367598184,23.7568722213,22464700.0
2014-04-03,24.2294156759,24.47032,24.5166468281,24.2201491984,38581300.0
2014-04-04,24.5444441778,24.238681,24.7668173979,24.1923541724,47918000.0
2014-04-07,24.3683976087,24.544444,24.7760827693,24.2757439541,49813500.0
2014-04-08,24.4239936163,24.933598,24.9984568577,24.4147271386,56699500.0
2014-04-09,24.9521282461,24.998456,25.0355182031,24.7668172305,34481800.0
2014-04-10,25.0262529516,24.488851,25.1003773587,24.4239930703,40478200.0
2014-04-11,24.3406029607,24.257213,24.6371005985,24.2479474488,36121100.0
2014-04-14,24.3776642206,24.609303,24.6926938871,24.2201498506,26957900.0
2014-04-15,24.5629756743,24.80388,24.8594733059,24.423993336,45074400.0
2014-04-16,24.9984567553,24.952129,25.2393610828,24.6463658151,59033600.0
2014-04-17,24.9058003299,25.054051,25.1652366862,24.8224122234,38108500.0
2014-04-21,25.0633146574,24.970661,25.0633146574,24.7668179504,20398600.0
2014-04-22,24.9335978573,24.868739,24.9984567146,24.7019590812,29601600.0
2014-04-23,24.8316758286,24.785349,24.9891901961,24.7575514204,25574300.0
2014-04-24,24.8409413796,24.785349,24.979924645,24.6834270121,25432800.0
2014-04-25,24.6926934901,24.331337,24.7575514207,24.2664790694,33614400.0
2014-04-28,24.2479471827,24.396196,24.4517883799,24.0996983654,33472800.0
2014-04-29,24.4239933148,24.535179,24.7019589177,24.4147268372,22146000.0
2014-04-30,24.386929694,24.729756,24.7390215508,24.2942732595,25863900.0
2014-05-01,24.5629753787,24.507383,24.7112241928,24.4517878416,19755200.0
2014-05-02,24.6093023374,24.47032,24.6834267448,24.4610544491,24235200.0
2014-05-05,24.4469578326,24.456303,24.5404095063,24.2880899874,20738900.0
2014-05-06,24.4469573967,24.484339,24.6525501406,24.2974347215,21818000.0
2014-05-07,24.5404092256,24.643207,24.7179683381,24.5030276221,24692800.0
2014-05-08,24.5964806651,24.615171,24.7927301156,24.5030280564,24166900.0
2014-05-09,24.64320704,24.577789,24.6805867745,24.5030276618,20324400.0
2014-05-12,24.6805867345,24.643207,24.8020748434,24.5777889601,20607800.0
2014-05-13,24.755347734,24.717968,24.8020745042,24.6058250599,20525000.0
2014-05-14,24.7553476738,24.605825,24.7833831751,24.605825,17811900.0
2014-05-15,24.6058253518,24.30678,24.7646931949,24.30678,31752700.0
2014-05-16,24.3441599137,24.129222,24.3628511828,24.0544606615,30017200.0
2014-05-19,24.0638052203,24.334816,24.3815409009,24.0638052203,22679600.0
2014-05-20,24.3161247313,24.334816,24.4563022375,24.1852914578,22292600.0
2014-05-21,24.3908863935,24.484339,24.5310639015,24.2974347215,18721300.0
2014-05-22,24.4936820682,24.437612,24.5497540054,24.3721958302,15926500.0
2014-05-23,24.437612722,24.568446,24.5777892984,24.4282666201,17172200.0
2014-05-27,24.605825576,24.960941,24.9889774365,24.4656480661,27271900.0
2014-05-28,24.9515978561,25.119809,25.1758818734,24.914216252,27150100.0
2014-05-29,25.1478450982,25.19457,25.19457,24.9702859857,20638900.0
2014-05-30,25.175881578,25.530997,25.530997,25.1665354762,43641000.0
2014-06-02,25.5216509019,25.474926,25.5590325055,25.3440945926,20264900.0
2014-06-03,25.4375447003,25.848733,25.8861146041,25.3440948955,33256300.0
2014-06-04,25.7085554935,25.792662,25.9421846783,25.6992103261,21612500.0
2014-06-05,25.7552803916,25.848733,25.848733,25.63379415,26546200.0
2014-06-06,25.9608754137,26.325336,26.3627157343,25.9141486432,34795600.0
2014-06-09,26.2599201791,26.082362,26.5589655335,26.0076006614,39933000.0
2014-06-10,26.0262904816,26.390752,26.4748585042,25.9048023743,34256900.0
2014-06-11,26.2972995768,26.101052,26.3627157472,25.9795638918,27747700.0
2014-06-12,26.0356371954,26.129087,26.2599202775,25.9515297547,31211400.0
2014-06-13,27.8018720605,27.914015,28.0915713055,27.6243129515,122194300.0
2014-06-16,27.7738362144,28.044847,28.1756793419,27.7271113126,36407800.0
2014-06-17,27.9233589599,27.988777,28.128953575,27.8859792252,28440600.0
2014-06-18,27.9233592285,27.970086,28.016811837,27.7271116478,34412300.0
2014-06-19,28.0074650595,28.119608,28.119608,27.9327037222,27166600.0
2014-06-20,28.1009178914,28.222406,28.222406,28.0635381569,39826400.0
2014-06-23,28.1289528283,28.25044,28.3252004019,27.895323652,26528900.0
2014-06-24,28.1850243148,28.50276,28.811150518,28.1196081443,53397600.0
2014-06-25,28.4840702385,28.857876,28.9700189433,28.4560356708,44293300.0
2014-06-26,28.792459633,28.764426,28.8765670735,28.6055581553,26722300.0
2014-06-27,28.8485329297,28.904603,28.9700191723,28.6896650826,30776300.0
2014-06-30,28.8485324326,28.876567,28.9700186731,28.6522829845,21558400.0
2014-07-01,28.9606731672,28.951328,29.0541248393,28.8485320953,28240000.0
2014-07-02,28.9606731672,28.951328,29.0167432359,28.7831140558,16831200.0
2014-07-03,29.0447799308,29.10085,29.3064455494,28.9887089271,20437600.0
2014-07-07,29.0541250692,28.998055,29.1569228437,28.8952572254,22233400.0
2014-07-08,28.9700185784,28.773771,29.0447799167,28.6896644944,37608700.0
2014-07-09,28.8204960978,28.867221,28.9513284406,28.6803195221,28302400.0
2014-07-10,28.5962119578,29.212993,29.2784091711,28.4466902154,32455100.0
2014-07-11,29.2129931674,29.203648,29.3905522817,29.00740042,20045000.0
2014-07-14,29.3531706612,29.427932,29.5120385062,29.2877544897,24244600.0
2014-07-15,29.5120387579,29.633525,29.7176315069,29.1195417256,61006100.0
2014-07-16,31.1287526691,32.381006,32.4651125042,31.0352991287,135834600.0
2014-07-17,31.9604723541,31.493214,32.1099950274,31.4277978304,70591100.0
2014-07-18,31.5866638018,31.493214,31.6240454046,31.2035119514,46528800.0
2014-07-21,31.353035595,31.829641,31.9885079108,31.3436922967,32097200.0
2014-07-22,31.9230915251,32.511838,32.5492196037,31.8389850193,42915100.0
2014-07-23,32.4090400104,32.240827,32.4370745777,32.0539227206,26077000.0
2014-07-24,32.1286861094,32.007198,32.3996931575,31.8670186215,33180400.0
2014-07-25,31.913748196,32.007198,32.1193390731,31.7081526464,31614000.0
2014-07-28,31.988507,31.988507,32.0726135039,31.6614270858,30972200.0
2014-07-29,32.0258882728,31.951126,32.1193390111,31.8576752617,26141700.0
2014-07-30,32.0632701341,32.100648,32.3062435509,31.8109506155,32782800.0
2014-07-31,31.8576752803,31.670771,32.0071979568,31.5960115307,35431200.0
2014-08-01,31.5399392982,31.530596,31.8016030452,31.4091078919,33472400.0
2014-08-04,31.5773215171,31.820294,31.857675604,31.3530356309,27250100.0
2014-08-05,31.7591441368,30.874857,31.7779597375,30.6678938589,49845100.0
2014-08-06,30.6678947437,30.903078,31.2229281693,30.4703417491,27923900.0
2014-08-07,30.9783382543,30.743155,31.1853013995,30.6114533183,27820100.0
2014-08-08,30.8372278867,30.667895,31.0441900947,30.6114538402,35484000.0
2014-08-11,30.8748583919,31.063005,31.2699681504,30.8654520022,27718600.0
2014-08-12,30.9595237942,31.166486,31.1853016012,30.7431551988,24805600.0
2014-08-13,31.2699673683,32.078994,32.1260344138,31.2605581566,36291000.0
2014-08-14,32.0319576297,31.928477,32.2012905101,31.7403332227,25458000.0
2014-08-15,32.0789936894,32.144845,32.1824752611,31.7121087571,28577600.0
2014-08-18,32.2295111665,32.370623,32.4270679216,31.9661078041,27232200.0
2014-08-19,32.4552892836,32.304772,32.4552892836,32.220106028,29281900.0
2014-08-20,32.2012910861,32.455289,32.4646944487,32.1542544354,27140300.0
2014-08-21,32.4176584045,33.066767,33.104393498,32.4082529559,37164900.0
2014-08-22,33.1138024609,32.86921,33.1138024609,32.8409889508,21196700.0
2014-08-25,33.01032231,32.746918,33.0667681737,32.5964016546,18614500.0
2014-08-26,32.7281025513,32.737508,32.9726912539,32.6340273683,19664700.0
2014-08-27,32.8221734185,32.728102,32.8692100685,32.57758472,17168900.0
2014-08-28,32.5587697396,32.5964,32.7469163377,32.5587697396,18908900.0
2014-08-29,32.7469171906,32.850395,32.869210601,32.6152117463,32302800.0
2014-09-02,32.6998773896,32.52114,32.8409892219,32.3894373792,32094800.0
2014-09-03,32.7563232514,32.52114,32.8127681724,32.4082529801,26668800.0
2014-09-04,32.4835095196,32.840989,33.0103209398,32.4741031303,27632400.0
2014-09-05,32.8503954762,32.925656,33.0385430227,32.7657332666,20841900.0
2014-09-08,32.8880249654,33.236099,33.4524666508,32.8127682064,24859600.0
2014-09-09,33.1984684804,32.840989,33.1984684804,32.7845431386,22333100.0
2014-09-10,32.784544502,32.944471,33.0479525749,32.6152125551,19964200.0
2014-09-11,32.7281033419,32.944471,32.944471,32.4835108705,21949000.0
2014-09-12,32.8315840661,32.568176,32.8409895148,32.4552889791,26732600.0
2014-09-15,32.6528417297,32.492919,32.7092866509,32.2012908271,22438000.0
2014-09-16,32.4270687435,32.859805,33.0009168371,32.4270687435,20875700.0
2014-09-17,32.8409886907,32.90684,33.1138021986,32.6810659638,26278900.0
2014-09-18,33.0385422903,33.085578,33.085578,32.7939535898,23809600.0
2014-09-19,33.0761722194,32.756323,33.13261714,32.756323,46851900.0
2014-09-22,32.718693311,32.652842,32.9538765647,32.5023247176,25447700.0
2014-09-23,32.6528425193,32.380029,32.6528425193,32.342402501,25690700.0
2014-09-24,32.3612173289,32.690472,32.7845434193,32.3329925165,18829000.0
2014-09-25,32.6246217816,32.116625,32.7281033566,31.8720362914,34639700.0
2014-09-26,32.229512,32.229512,32.323588126,31.6368530083,25882300.0
2014-09-29,32.0413673292,32.831584,32.9162499711,31.9284774863,29003100.0
2014-09-30,32.8315835213,32.756323,32.9256549397,32.3706224707,35274600.0
2014-10-01,32.5587705274,31.975517,32.7186932582,31.8344051666,35086600.0
2014-10-02,31.9472925903,31.533371,31.984922852,31.288778532,32910800.0
2014-10-03,31.6650727313,32.013143,32.1542538905,31.4863344023,25834600.0
2014-10-06,32.1260342612,32.088404,32.4364742739,31.8626261955,24321100.0
2014-10-07,32.0225528194,31.486335,32.0319582681,31.439295527,25972100.0
2014-10-08,31.5051511167,32.238921,32.3329933624,31.1758917333,34960600.0
2014-10-09,32.1260343198,31.627443,32.3894376823,31.5898165016,28185700.0
2014-10-10,30.6867094886,30.01879,30.9124872898,28.6923564713,80917600.0
2014-10-13,29.8400502534,29.604867,30.4515267123,29.604867,42110200.0
2014-10-14,30.0940499846,30.235159,30.733746571,29.8306437923,68671000.0
2014-10-15,28.7299865843,29.426129,29.7741992671,27.8927332787,92305200.0
2014-10-16,29.0592423805,29.021614,29.6424978003,28.9275406969,47787400.0
2014-10-17,29.3508709392,29.520201,29.8306428942,29.1345004648,37504500.0
2014-10-20,29.200354106,29.708349,29.821237904,29.0686505415,30523700.0
2014-10-21,29.7930140413,30.677304,30.6867094485,29.7083480715,33278400.0
2014-10-22,30.7243408832,30.357455,30.9218938795,30.310419289,26725600.0
2014-10-23,30.7807848716,30.752561,30.9595232019,30.6678940888,22254900.0
2014-10-24,30.780785746,31.213522,31.3546338363,30.6396748505,27814300.0
2014-10-27,31.1194499791,31.232337,31.3264084199,30.8278208633,23751900.0
2014-10-28,31.260558278,31.740334,31.7497394487,31.260558278,21857800.0
2014-10-29,31.7591447175,31.909662,31.956701473,31.5239614637,24615200.0
2014-10-30,31.5898159993,30.649083,31.6180370486,30.4797510601,55217900.0
2014-10-31,31.7403338486,31.994328,31.994328,30.6961192598,52089700.0
2014-11-03,31.8061844879,32.276551,32.4364746734,31.7873698274,28703600.0
2014-11-04,32.2201054873,32.492919,32.7186930402,32.1824752262,34695900.0
2014-11-05,32.2419893325,31.967387,32.2893334521,31.8158827872,34705500.0
2014-11-06,31.901103884,32.024202,32.4124315334,31.6359724666,25240600.0
2014-11-07,32.1757066316,31.796948,32.1946446579,31.427653647,27604500.0
2014-11-10,31.6549111182,31.493936,31.7117270911,31.3234975501,30653600.0
2014-11-11,31.5886290661,31.541284,31.7590713042,31.4371248545,19676600.0
2014-11-12,31.4655308551,31.607567,31.6454402121,31.2477435516,22864200.0
2014-11-13,31.5791576653,31.891637,32.0620801874,31.5696905457,26449300.0
2014-11-14,31.9579197877,32.147301,32.1662390265,31.5791573631,18104600.0
2014-11-17,32.0242025529,32.421903,32.4313701194,31.9673865801,17646300.0
2014-11-18,32.3745553117,32.866944,33.0468580922,32.3461492188,30674800.0
2014-11-19,32.8480064012,32.526059,32.9426984286,32.4313707602,21289600.0
2014-11-20,32.3272097372,34.041103,34.0600410262,32.1946445008,61994700.0
2014-11-21,34.069509515,33.700218,34.524021202,33.6149968811,56721600.0
2014-11-24,33.9842875764,34.325173,34.4956152383,33.9369434571,33321100.0
2014-11-25,34.4293329998,34.391456,34.5429602115,34.2304846691,29093200.0
2014-11-26,34.4387994683,34.94066,35.0258811173,34.353578351,24060000.0
2014-11-28,35.0732256707,35.272074,35.6887096319,34.9785336453,19128500.0
2014-12-01,35.2341969995,35.19632,35.6224265388,34.9406604324,30904000.0
2014-12-02,35.2057913365,35.603488,35.603488,35.2057913365,28361100.0
2014-12-03,35.679242334,35.442517,35.8780906676,35.4235789733,30660800.0
2014-12-04,35.4141117607,35.470923,35.470923,35.0732263338,23359100.0
2014-12-05,35.5750827614,35.669771,35.8875620922,35.5277376951,20527600.0
2014-12-08,35.470922449,35.22473,35.726586752,34.9785337634,28134800.0
2014-12-09,34.7228697612,34.931189,35.1205702123,34.3725172172,28487300.0
2014-12-10,34.9690655645,34.486144,35.0542866828,34.3725167891,27499900.0
2014-12-11,34.5618977912,34.751279,35.234196774,34.5050827658,25088200.0
2014-12-12,34.5145532323,34.306234,34.8649057654,34.2967659339,29322500.0
2014-12-15,34.4577385736,34.012694,34.8270300936,33.9937597609,30633400.0
2014-12-16,33.955882397,33.671812,34.5618982969,33.671812,31166300.0
2014-12-17,33.7286233534,34.315705,34.400926117,33.4540248171,31637700.0
2014-12-18,34.7986236426,35.054287,35.054287,34.4956152191,32128100.0
2014-12-19,35.0542868038,34.4388,35.1868529884,34.3062347623,76786800.0
2014-12-22,34.4577379214,35.234197,35.2815411189,34.4577379214,29227100.0
2014-12-23,35.4141118537,35.442517,35.6981813076,35.3194188794,22169700.0
2014-12-24,35.480392933,35.451984,35.6034872623,35.205790607,12109100.0
2014-12-26,35.527737907,35.556144,35.7360580934,35.527737907,14037200.0
2014-12-29,35.4614553027,35.205791,35.5277374481,35.196320093,12203300.0
2014-12-30,35.1111032132,34.808091,35.2152595188,34.808091,15214100.0
2014-12-31,34.6849964502,34.36305,35.0732259931,34.36305,20393600.0
